ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2023-02-18T20:59:59-05:00,"Friday, Feb 17, 2023","Saturday, Feb 18, 2023",2023-02-18 03:45:00,2023-02-18 11:00:00,07:15:00,00:00:00,00:00:00,1,07:15:00,07:10:08,100.0,92.9,05:02:49,05:16:35,02:00:00,02:02:40,54.4,52.7,64.9,71.1,48.0,47.7,175,137,101,81,,,,,,,,,
2023-02-19T20:59:59-05:00,"Saturday, Feb 18, 2023","Sunday, Feb 19, 2023",2023-02-19 02:32:00,2023-02-19 09:59:00,07:27:00,00:00:00,00:00:00,1,07:27:00,07:14:25,100.0,92.9,04:39:56,05:09:44,02:29:00,02:06:18,53.0,53.3,68.1,71.0,47.0,47.9,91,135,78,82,,,,,,,,,
2023-02-20T20:59:59-05:00,"Sunday, Feb 19, 2023","Monday, Feb 20, 2023",2023-02-20 03:26:00,2023-02-20 13:22:00,09:56:00,00:00:00,00:00:00,1,09:56:00,07:53:34,100.0,96.2,06:42:25,05:31:51,02:17:32,02:17:12,50.6,51.6,58.6,67.1,50.0,47.3,94,127,70,82,,,,,,,,,
2023-02-21T20:59:59-05:00,"Monday, Feb 20, 2023","Tuesday, Feb 21, 2023",2023-02-21 02:45:00,2023-02-21 11:11:00,08:26:00,00:46:00,00:00:00,1,07:40:00,07:42:08,90.9,97.0,05:14:06,05:24:05,02:11:26,02:22:21,48.0,51.2,61.4,66.6,49.0,47.6,74,124,64,83,,,,,,,,,
2023-02-22T20:59:59-05:00,"Tuesday, Feb 21, 2023","Wednesday, Feb 22, 2023",2023-02-22 02:11:00,2023-02-22 12:06:00,09:55:00,01:01:00,00:00:00,1,08:54:00,08:10:51,89.7,95.7,06:27:53,05:41:33,02:37:04,02:24:24,50.0,51.6,76.0,66.8,51.0,49.7,109,121,82,81,,,,,,,,,
2023-02-23T20:59:59-05:00,"Wednesday, Feb 22, 2023","Thursday, Feb 23, 2023",2023-02-23 03:10:00,2023-02-23 12:30:00,09:20:00,00:30:00,00:00:00,1,08:50:00,08:15:34,94.6,95.7,06:24:51,05:46:16,03:38:14,02:33:24,54.2,51.9,,,51.0,50.1,77,106,56,76,,,,,,,,,
2023-02-25T20:59:59-05:00,"Friday, Feb 24, 2023","Saturday, Feb 25, 2023",2023-02-25 03:15:00,2023-02-25 10:30:00,07:15:00,00:00:00,00:00:00,1,07:15:00,08:11:00,100.0,96.5,04:52:48,05:37:50,02:15:00,02:29:45,49.2,51.3,,,49.0,49.3,143,109,89,77,,,,,,,,,
2023-02-27T20:59:59-05:00,"Sunday, Feb 26, 2023","Monday, Feb 27, 2023",2023-02-27 00:30:00,2023-02-27 07:30:00,07:00:00,01:12:00,00:00:00,1,05:48:00,07:58:34,82.9,94.0,03:44:35,05:26:39,01:27:00,02:25:02,47.1,50.3,66.6,67.1,43.0,48.6,59,93,48,70,,,,,,,,,
2023-02-28T20:59:59-05:00,"Monday, Feb 27, 2023","Tuesday, Feb 28, 2023",2023-02-28 01:00:00,2023-02-28 07:46:00,06:46:00,00:23:00,00:00:00,1,06:23:00,07:49:25,94.3,93.2,04:49:55,05:28:05,02:07:40,02:21:59,49.8,49.8,76.5,68.3,47.0,48.6,69,89,56,67,,,,,,,,,
2023-03-01T20:59:59-05:00,"Tuesday, Feb 28, 2023","Wednesday, Mar 1, 2023",2023-03-01 00:46:00,2023-03-01 08:14:00,07:28:00,00:33:00,00:00:00,1,06:55:00,07:23:34,92.6,92.2,05:15:59,05:15:44,02:07:42,02:20:35,50.6,49.8,,,58.0,49.7,97,90,77,68,,,,,,,,,
2023-03-03T20:59:59-05:00,"Thursday, Mar 2, 2023","Friday, Mar 3, 2023",2023-03-03 01:15:00,2023-03-03 10:44:00,09:29:00,00:58:00,00:00:00,1,08:31:00,07:30:51,89.8,92.0,06:02:06,05:22:35,02:19:22,02:21:43,55.4,50.9,63.7,71.0,48.0,49.6,70,89,56,66,,,,,,,,,
2023-03-04T20:59:59-05:00,"Friday, Mar 3, 2023","Saturday, Mar 4, 2023",2023-03-04 02:30:00,2023-03-04 11:38:00,09:08:00,00:38:00,00:00:00,1,08:30:00,07:27:25,93.1,92.5,06:16:42,05:20:59,02:39:22,02:22:02,51.9,51.2,79.1,71.4,51.0,49.6,55,81,44,61,,,,,,,,,
2023-03-05T20:59:59-05:00,"Saturday, Mar 4, 2023","Sunday, Mar 5, 2023",2023-03-05 05:37:00,2023-03-05 11:57:00,06:20:00,00:27:00,00:00:00,1,05:53:00,07:02:08,92.9,92.2,04:02:09,05:00:36,01:52:19,02:06:55,61.1,52.2,76.6,70.3,52.0,49.7,57,79,37,58,,,,,,,,,
2023-03-06T20:59:59-05:00,"Sunday, Mar 5, 2023","Monday, Mar 6, 2023",2023-03-05 23:15:00,2023-03-06 06:11:00,06:56:00,00:41:00,00:00:00,1,06:15:00,06:53:34,90.1,90.8,04:30:08,04:57:22,01:18:08,01:58:47,50.5,52.3,61.3,71.3,39.0,48.3,138,78,80,57,,,,,,,,,
2023-03-07T20:59:59-05:00,"Monday, Mar 6, 2023","Tuesday, Mar 7, 2023",2023-03-07 00:13:00,2023-03-07 09:48:00,09:35:00,00:21:00,00:00:00,1,09:14:00,07:23:00,96.3,92.7,06:20:00,05:19:34,02:22:27,02:06:42,49.6,52.7,63.5,70.8,46.0,48.7,162,93,78,61,,,,,,,,,
